image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;pronunciation;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt
FLOW-3-4-5-6.021.png;tree-pose-hands-on-knee;Tree Pose (Hands on Knee);Vrksasana;Vrksasana;vrik-SHAHS-uh-nuh;A beginner-friendly Tree Pose variation with hands resting on the lifted knee for support.;This accessible variation of Vrksasana allows practitioners to develop balance and stability with added support from the hands on the knee. Perfect for beginners building confidence in standing balances.;Improves balance and stability|Strengthens ankles and legs|Enhances postural awareness|Builds focus and concentration|Supports hip mobility;Practice near a wall if balance is unsteady|Avoid locking the standing knee|Move slowly into the pose;Severe ankle instability|Recent knee injury|Vertigo;Stand tall with feet together|Shift weight into one foot|Lift opposite foot and place on inner calf|Rest hands on lifted knee for support|Gaze forward and breathe steadily;Press standing foot evenly into the floor|Engage core muscles gently|Keep pelvis neutral|Lengthen spine upward;Keep toes of lifted foot on the floor|Use wall support|Lower lifted foot to ankle;Hands in prayer|Arms overhead|Eyes closed variation;balance|standing|stability|beginner|grounding;wall;beginner;balancing;hips;legs|core;25;false;true;false;true;published;Tree Pose Hands on Knee - Beginner Balance Variation;Learn this beginner-friendly Tree Pose variation with hands on knee for added balance support.;Tree Pose with hands resting on lifted knee for support.
FLOW-3-4-5-6.022.png;tree-pose-foot-to-calf;Tree Pose (Foot to Calf);Vrksasana;Vrksasana;vrik-SHAHS-uh-nuh;Classic Tree Pose with foot placed on the inner calf below the knee.;This standard variation of Vrksasana places the foot on the inner calf, making it accessible while still challenging balance and building leg strength. A foundational standing balance for all levels.;Builds leg strength|Improves balance and coordination|Encourages mental focus|Enhances hip flexibility|Supports joint stability;Be cautious with knee alignment|Avoid pressing foot into knee joint|Use support if needed;Knee pain|Ankle injury|Balance disorders;Stand grounded on one foot|Place opposite foot on inner calf below knee|Bring hands to prayer at heart|Find a steady gaze|Hold and breathe evenly;Stack hips over standing leg|Keep shoulders relaxed|Engage thigh of standing leg|Lift through crown of head;Keep toes on floor for support|Light wall contact|Reduce hold time;Hands in prayer|Arms overhead|Heel lifted variation;balance|standing|stability|classic|focus;wall;beginner;balancing;hips;legs|core;30;false;true;false;true;published;Tree Pose Foot to Calf - Classic Standing Balance;Master Tree Pose with foot on calf placement for improved balance and focus.;Tree Pose with foot placed on inner calf and hands at heart.
FLOW-3-4-5-6.023.png;tree-pose-prayer-hands;Tree Pose (Prayer Hands);Vrksasana;Vrksasana;vrik-SHAHS-uh-nuh;Tree Pose with hands in prayer position at the heart center.;Vrksasana with Anjali Mudra (prayer hands) combines the grounding benefits of Tree Pose with the centering quality of bringing hands to heart. This variation encourages inner focus and calm.;Enhances balance and focus|Strengthens legs and core|Improves posture|Calms the nervous system|Builds body awareness;Avoid knee strain|Maintain steady breathing|Exit slowly if wobbling;Recent knee surgery|Severe balance issues;Stand tall|Shift weight to one foot|Place sole of opposite foot on calf or thigh|Bring palms together at chest|Hold steady breaths;Press foot into leg and leg into foot|Lift through spine|Relax shoulders|Keep hips level;Use wall or chair support|Lower lifted foot to ankle|Shorten hold time;Arms overhead|Eyes closed|Dynamic entry and exit;balance|standing|stability|centering|meditation;wall;beginner;balancing;hips;legs|core;30;false;true;false;true;published;Tree Pose Prayer Hands - Centering Balance Pose;Find focus and balance with Tree Pose hands in prayer position at the heart.;Tree Pose with palms pressed together at heart center.
FLOW-3-4-5-6.024.png;tree-pose-low-foot;Tree Pose (Low Foot);Vrksasana;Vrksasana;vrik-SHAHS-uh-nuh;A gentle Tree Pose variation with foot placed low near the ankle.;This accessible Tree Pose variation keeps the lifted foot low near the ankle, making it ideal for beginners or those with limited balance. It builds confidence while developing the foundations for more challenging variations.;Improves balance safely|Strengthens ankles|Builds confidence in standing poses|Enhances body awareness|Prepares for advanced balance poses;Watch ankle stability|Keep foot light on standing leg|Avoid knee pressure;Acute ankle injury|Recent foot surgery;Stand upright|Shift weight to one foot|Place opposite toes or foot low near ankle|Hands in prayer or on hips|Focus gaze forward;Ground through standing foot|Engage core lightly|Keep chest open|Align head over spine;Wall support|Chair support|Hands on hips for stability;Arms overhead|Heel lifted higher|Progress to calf placement;balance|standing|stability|beginner|accessible;wall|chair;beginner;balancing;hips;legs|ankles;25;false;true;false;true;published;Tree Pose Low Foot - Accessible Balance for Beginners;Start your balance practice with this gentle Tree Pose keeping foot low near the ankle.;Tree Pose with foot placed low near the ankle for accessibility.
FLOW-3-4-5-6.025.png;tree-pose-tiptoe;Tree Pose (Tiptoe Support);Vrksasana;Vrksasana;vrik-SHAHS-uh-nuh;Tree Pose prep with lifted foot toes resting on the floor for support.;This preparatory Tree Pose variation keeps the toes of the lifted foot on the ground, providing extra stability while building balance awareness. Perfect for those new to standing balances.;Strengthens feet and ankles|Improves balance control|Enhances focus|Develops postural strength|Supports mindful movement;Be cautious with ankle load|Move slowly|Use support if shaky;Ankle instability|Foot pain;Stand tall|Shift weight to one leg|Rest toes of other foot on floor beside standing foot|Hands at heart or on hips|Breathe steadily;Distribute weight primarily through standing foot|Lift through crown|Relax jaw and shoulders;Wall support|Lower heel fully to floor|Hands on hips;Arms overhead|Eyes closed for challenge;balance|standing|stability|preparation|beginner;wall;beginner;balancing;hips;ankles|core;20;false;true;false;true;published;Tree Pose Tiptoe Support - Balance Preparation;Build balance confidence with Tree Pose keeping toes on the floor for support.;Tree Pose prep with toes of lifted foot resting on floor.
FLOW-3-4-5-6.026.png;tree-pose-crossed-ankle;Tree Pose (Crossed Ankle);Vrksasana;Vrksasana;vrik-SHAHS-uh-nuh;A casual Tree Pose variation with ankle crossed in front of standing leg.;This relaxed variation of Tree Pose crosses the ankle in front of the standing leg, offering a gentle balance challenge suitable for warming up or cooling down sequences.;Improves balance awareness|Strengthens standing leg|Enhances coordination|Builds confidence|Supports joint control;Avoid knee torque|Keep movements controlled|Exit if discomfort arises;Knee pain|Balance disorders;Stand upright|Cross ankle lightly in front of standing leg|Hands in prayer or on hips|Find steady breath|Hold with soft focus;Keep pelvis level|Engage standing thigh|Lengthen spine|Relax shoulders;Wall support|Lower foot to floor completely|Hands on hips;Arms overhead|Dynamic balance shifts;balance|standing|stability|casual|warm-up;wall;beginner;balancing;hips;legs|core;20;false;true;false;true;published;Tree Pose Crossed Ankle - Casual Balance Variation;A relaxed Tree Pose variation with ankle crossed for gentle balance practice.;Tree Pose with ankle crossed in front of standing leg.
FLOW-3-4-5-6.027.png;extended-hand-to-big-toe-a;Extended Hand to Big Toe Pose A;Utthita Hasta Padangusthasana;Utthita Hasta Padangusthasana;oo-TEE-tah HAH-stah pah-dahn-goos-TAHS-uh-nuh;A challenging standing balance holding the big toe with leg extended forward.;Utthita Hasta Padangusthasana A is an intermediate standing balance that develops hamstring flexibility, leg strength, and focused concentration. Holding the big toe while extending the leg forward challenges stability and body control.;Improves balance and flexibility|Strengthens standing leg|Stretches hamstrings deeply|Enhances concentration|Builds core strength;Move slowly into extension|Avoid locking standing knee|Use strap if needed;Hamstring injury|Lower back pain|Severe balance issues;Stand tall in Tadasana|Lift one knee toward chest|Hook big toe with two fingers|Slowly extend leg forward|Keep spine upright|Hold and breathe steadily;Engage core throughout|Square hips forward|Keep standing leg strong|Relax shoulders away from ears;Bend lifted knee|Use strap around foot|Lower leg height;Side extension|No-hold variation|Reclined version;balance|standing|flexibility|hamstrings|intermediate;strap;intermediate;balancing;hamstrings;legs|core|hips;30;true;false;false;true;published;Extended Hand to Big Toe Pose A - Balance & Flexibility;Master this challenging standing balance for hamstring flexibility and concentration.;Extended Hand to Big Toe Pose with leg extended forward holding big toe.
FLOW-3-4-5-6.028.png;extended-hand-to-big-toe-vertical;Extended Hand to Big Toe Pose (Vertical);Utthita Hasta Padangusthasana;Utthita Hasta Padangusthasana;oo-TEE-tah HAH-stah pah-dahn-goos-TAHS-uh-nuh;An advanced expression with leg lifted vertically toward the ceiling.;This advanced variation of Utthita Hasta Padangusthasana lifts the leg vertically, demanding significant hamstring flexibility, hip mobility, and balance control. A peak pose for dedicated practitioners.;Stretches hamstrings deeply|Improves balance and focus|Strengthens legs|Enhances posture|Develops exceptional body control;Avoid rounding spine|Do not force leg straight|Use support as needed;Hamstring strain|Hip injury|Balance disorders;Stand grounded in Tadasana|Lift knee toward chest|Hold foot or use strap|Extend leg upward toward vertical|Maintain upright torso|Breathe steadily;Lengthen spine continuously|Stabilize hips|Engage standing leg fully|Relax neck and face;Use strap for leverage|Lower leg height|Keep knee bent;Side variation|Twist variation|Reclined preparation;balance|standing|flexibility|advanced|hamstrings;strap;advanced;balancing;hamstrings;legs|core|hips;30;true;false;false;true;published;Extended Hand to Big Toe Vertical - Advanced Balance;Challenge your flexibility with this vertical leg lift balance pose.;Extended Hand to Big Toe with leg lifted vertically toward ceiling.
FLOW-3-4-5-6.029.png;extended-hand-to-big-toe-side-a;Extended Hand to Big Toe Pose (Side A);Utthita Hasta Padangusthasana B;Utthita Hasta Padangusthasana;oo-TEE-tah HAH-stah pah-dahn-goos-TAHS-uh-nuh;Standing balance with leg extended to the side opening the hip.;This lateral variation of Utthita Hasta Padangusthasana opens the hip while challenging balance and concentration. Extending the leg to the side requires hip external rotation and inner thigh flexibility.;Improves hip mobility|Enhances balance|Strengthens legs|Increases inner thigh flexibility|Builds focus and concentration;Move slowly into side opening|Avoid hip strain|Use wall support if needed;Hip injury|Groin strain|Severe balance issues;Stand tall in Tadasana|Lift knee toward chest|Hold big toe or use strap|Extend leg out to the side|Keep chest open and facing forward|Breathe steadily;Stack shoulders over hips|Engage core throughout|Ground standing foot firmly|Relax jaw and shoulders;Bend knee|Use strap|Lower leg height|Wall support;Forward extension|Standing split prep;balance|standing|flexibility|hip-opener|intermediate;strap;intermediate;balancing;hips;legs|core|hamstrings;30;true;false;false;true;published;Extended Hand to Big Toe Side A - Hip Opening Balance;Open your hips with this lateral standing balance pose variation.;Extended Hand to Big Toe with leg extended to the side.
FLOW-3-4-5-6.030.png;extended-hand-to-big-toe-side-b;Extended Hand to Big Toe Pose (Side B);Utthita Hasta Padangusthasana B;Utthita Hasta Padangusthasana;oo-TEE-tah HAH-stah pah-dahn-goos-TAHS-uh-nuh;A deeper side extension with torso remaining upright and centered.;This deeper expression of the side variation maintains an upright torso while the leg extends further to the side, demanding greater hip mobility and balance control.;Enhances balance and coordination|Stretches inner thighs deeply|Strengthens standing leg|Improves posture|Develops concentration;Do not force range of motion|Maintain steady breath|Use support as needed;Hip or groin injury|Balance disorders|Recent hip surgery;Stand grounded in Tadasana|Lift knee toward chest|Hold foot with same-side hand|Extend leg fully to side with torso upright|Hold gaze forward|Breathe evenly;Align hips as much as possible|Engage standing leg completely|Lift through spine|Relax shoulders;Use wall support|Bend lifted knee|Lower height|Use strap;Forward variation|Twist variation|Dynamic transitions;balance|standing|flexibility|hip-opener|advanced;strap|wall;intermediate;balancing;hips;legs|core|hamstrings;30;true;false;false;true;published;Extended Hand to Big Toe Side B - Deep Hip Opening;Deepen your side extension with this challenging balance variation.;Extended Hand to Big Toe Side B with leg extended fully to side.
