Tablo 1
english_name;sanskrit_name;slug;image_original_filename;difficulty;pose_type;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;primary_focus;secondary_focus;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status
Tree Pose Hands on Knee;Vrksasana;tree-pose-hands-on-knee;FLOW-3-4-5-6.021.png;beginner;balance;Improves balance and stability|Strengthens ankles and legs|Enhances postural awareness|Builds focus and concentration|Supports hip mobility;Practice near a wall if balance is unsteady|Avoid locking the standing knee|Move slowly into the pose;Severe ankle instability|Recent knee injury|Vertigo;Stand tall with feet together|Shift weight into one foot|Lift opposite foot and rest it lightly on the inner calf or knee|Hands rest on hips or knee|Gaze forward and breathe steadily;Press standing foot evenly into the floor|Engage core muscles gently|Keep pelvis neutral|Lengthen spine upward;Keep toes of lifted foot on the floor|Use wall support|Lower lifted foot to ankle;Hands in prayer|Arms overhead|Eyes closed variation;balance|standing|stability;false;true;false;true;published;;;
Tree Pose Foot to Calf;Vrksasana;tree-pose-foot-to-calf;FLOW-3-4-5-6.022.png;beginner;balance;Builds leg strength|Improves balance and coordination|Encourages mental focus|Enhances hip flexibility|Supports joint stability;Be cautious with knee alignment|Avoid pressing foot into knee joint|Use support if needed;Knee pain|Ankle injury|Balance disorders;Stand grounded on one foot|Place opposite foot on inner calf below knee|Hands on hips|Find a steady gaze|Hold and breathe evenly;Stack hips over standing leg|Keep shoulders relaxed|Engage thigh of standing leg|Lift through crown of head;Keep toes on floor for support|Light wall contact|Reduce hold time;Hands in prayer|Arms overhead|Heel lifted variation;balance|standing|stability;false;true;false;true;published;;;
Tree Pose Prayer Hands;Vrksasana;tree-pose-prayer-hands;FLOW-3-4-5-6.023.png;beginner;balance;Enhances balance and focus|Strengthens legs and core|Improves posture|Calms the nervous system|Builds body awareness;Avoid knee strain|Maintain steady breathing|Exit slowly if wobbling;Recent knee surgery|Severe balance issues;Stand tall|Shift weight to one foot|Place sole of opposite foot on calf or thigh|Bring palms together at chest|Hold steady breaths;Press foot into leg and leg into foot|Lift through spine|Relax shoulders|Keep hips level;Use wall or chair support|Lower lifted foot to ankle|Shorten hold time;Arms overhead|Eyes closed|Dynamic entry and exit;balance|standing|stability;false;true;false;true;published;;;
Tree Pose Low Foot;Vrksasana;tree-pose-low-foot;FLOW-3-4-5-6.024.png;beginner;balance;Improves balance safely|Strengthens ankles|Builds confidence in standing poses|Enhances body awareness|Prepares for advanced balance poses;Watch ankle stability|Keep foot light on standing leg|Avoid knee pressure;Acute ankle injury|Recent foot surgery;Stand upright|Shift weight to one foot|Place opposite toes on floor with heel lifted|Hands in prayer|Focus gaze forward;Ground through standing foot|Engage core lightly|Keep chest open|Align head over spine;Wall support|Chair support|Hands on hips;Arms overhead|Heel lifted higher;balance|standing|stability;false;true;false;true;published;;;
Tree Pose Tiptoe Support;Vrksasana;tree-pose-tiptoe-support;FLOW-3-4-5-6.025.png;beginner;balance;Strengthens feet and ankles|Improves balance control|Enhances focus|Develops postural strength|Supports mindful movement;Be cautious with ankle load|Move slowly|Use support if shaky;Ankle instability|Foot pain;Stand tall|Shift weight to one leg|Rest toes of other foot on floor|Hands at heart|Breathe steadily;Distribute weight evenly|Lift through crown|Relax jaw and shoulders;Wall support|Lower heel fully|Hands on hips;Arms overhead|Eyes closed;balance|standing|stability;false;true;false;true;published;;;
Tree Pose Crossed Ankle;Vrksasana;tree-pose-crossed-ankle;FLOW-3-4-5-6.026.png;beginner;balance;Improves balance awareness|Strengthens standing leg|Enhances coordination|Builds confidence|Supports joint control;Avoid knee torque|Keep movements controlled|Exit if discomfort arises;Knee pain|Balance disorders;Stand upright|Cross ankle lightly against standing leg|Hands in prayer|Find steady breath|Hold with focus;Keep pelvis level|Engage standing thigh|Lengthen spine|Relax shoulders;Wall support|Lower foot to floor|Hands on hips;Arms overhead|Dynamic balance shifts;balance|standing|stability;false;true;false;true;published;;;
Extended Hand to Big Toe Pose A;Utthita Hasta Padangusthasana;extended-hand-to-big-toe-pose-a;FLOW-3-4-5-6.027.png;intermediate;balance;Improves balance and flexibility|Strengthens standing leg|Stretches hamstrings|Enhances concentration|Builds core strength;Move slowly into extension|Avoid locking knee|Use strap if needed;Hamstring injury|Lower back pain|Balance issues;Stand tall|Lift one knee toward chest|Hold big toe or use strap|Extend leg forward|Keep spine upright|Hold and breathe;Engage core|Square hips forward|Keep standing leg strong|Relax shoulders;Bend lifted knee|Use strap|Lower leg height;Side extension|No-hold variation;balance|standing|flexibility;true;false;false;true;published;;;
Extended Hand to Big Toe Pose Vertical;Utthita Hasta Padangusthasana;extended-hand-to-big-toe-pose-vertical;FLOW-3-4-5-6.028.png;intermediate;balance;Stretches hamstrings deeply|Improves balance and focus|Strengthens legs|Enhances posture|Develops body control;Avoid rounding spine|Do not force leg straight|Use support;Hamstring strain|Hip injury|Balance disorders;Stand grounded|Lift knee up|Hold foot or strap|Extend leg upward|Maintain upright torso|Breathe steadily;Lengthen spine|Stabilize hips|Engage standing leg|Relax neck;Use strap|Lower leg height|Bend knee;Side variation|Twist variation;balance|standing|flexibility;true;false;false;true;published;;;
Extended Hand to Big Toe Pose Side A;Utthita Hasta Padangusthasana;extended-hand-to-big-toe-pose-side-a;FLOW-3-4-5-6.029.png;intermediate;balance;Improves hip mobility|Enhances balance|Strengthens legs|Increases flexibility|Builds focus;Move slowly into side opening|Avoid hip strain|Use wall support;Hip injury|Groin strain;Stand tall|Lift knee|Hold foot|Extend leg to side|Keep chest open|Breathe steadily;Stack shoulders over hips|Engage core|Ground standing foot|Relax jaw;Bend knee|Use strap|Lower leg height;Forward extension|Standing split prep;balance|standing|flexibility;true;false;false;true;published;;;
Extended Hand to Big Toe Pose Side B;Utthita Hasta Padangusthasana;extended-hand-to-big-toe-pose-side-b;FLOW-3-4-5-6.030.png;intermediate;balance;Enhances balance and coordination|Stretches inner thighs|Strengthens standing leg|Improves posture|Develops concentration;Do not force range|Maintain steady breath|Use support as needed;Hip or groin injury|Balance disorders;Stand grounded|Lift knee|Hold foot|Extend leg to side with torso upright|Hold gaze forward|Breathe evenly;Align hips|Engage standing leg|Lift through spine|Relax shoulders;Use wall support|Bend lifted knee|Lower height;Forward variation|Twist variation;balance|standing|flexibility;true;false;false;true;published;;;
