poses-21-30-fixed
english_name;sanskrit_name;slug;image_original_filename;difficulty;pose_type;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;primary_focus;secondary_focus;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt
Dancer Pose;Natarajasana;dancer-pose;FLOW-3-4-5-6.031.png;intermediate;balance;Improves balance|Strengthens legs and core|Enhances spinal mobility|Opens shoulders and chest|Builds focus;Maintain steady breath|Avoid forcing lifted leg|Use wall support if balance is unstable;Ankle injury|Severe knee pain|Recent hip surgery;Shift weight into standing foot|Bend opposite knee and catch foot|Lift chest as leg presses back|Extend free arm forward;Keep hips level|Engage standing leg|Lengthen spine upward;Use strap around lifted foot|Keep knee bent and torso upright;Full Dancer with deeper backbend|Bound Dancer;standing balance|backbend|focus;;balance;flexibility;true;false;false;true;published;false;true;false;true;published;Tree Pose Hands on Knee - Beginner Balance Variation;Learn this beginner-friendly Tree Pose variation with hands on knee for added balance support.;Tree Pose with hands resting on lifted knee for support.
Extended Leg Balance;Utthita Hasta Padangusthasana;extended-leg-balance;FLOW-3-4-5-6.032.png;intermediate;balance;Strengthens standing leg|Improves hamstring flexibility|Enhances concentration|Builds hip stability;Do not lock standing knee|Avoid jerking leg upward;Hamstring tear|Hip replacement|Severe balance disorders;Balance on one foot|Lift opposite leg holding foot|Extend leg forward or sideways|Keep torso upright;Square hips|Engage core|Relax shoulders;Bend lifted knee|Use strap for foot grip;Side variation|Both arms extended;balance|standing|leg strength;;balance;flexibility;false;false;false;true;published;false;true;false;true;published;Tree Pose Foot to Calf - Classic Standing Balance;Master Tree Pose with foot on calf placement for improved balance and focus.;Tree Pose with foot placed on inner calf and hands at heart.
Eagle Pose;Garudasana;eagle-pose;FLOW-3-4-5-6.033.png;intermediate;balance;Improves balance|Strengthens legs|Stretches shoulders|Enhances focus;Move slowly into wrap|Avoid knee strain;Knee injury|Shoulder injury;Bend knees slightly|Wrap one leg over the other|Wrap arms at elbows|Sit hips back;Keep spine upright|Lift elbows|Soften shoulders;Unwrap arms or legs|Chair Eagle;Bound Eagle;balance|twist;;balance;stability;true;false;false;true;published;false;true;false;true;published;Tree Pose Prayer Hands - Centering Balance Pose;Find focus and balance with Tree Pose hands in prayer position at the heart.;Tree Pose with palms pressed together at heart center.
Eagle Pose Forward Fold;Garudasana Forward Fold;eagle-forward-fold;FLOW-3-4-5-6.034.png;advanced;balance;Deepens hip stretch|Improves balance|Enhances proprioception|Builds mental focus;Enter slowly|Maintain knee safety;Knee injury|Vertigo;Wrap legs and arms|Hinge forward from hips|Keep weight centered;Keep hips stacked|Engage core;Unwrap arms|Keep torso upright;Dynamic Eagle Flow;balance|forward_fold;;balance;flexibility;true;false;false;true;published;false;true;false;true;published;Tree Pose Low Foot - Accessible Balance for Beginners;Start your balance practice with this gentle Tree Pose keeping foot low near the ankle.;Tree Pose with foot placed low near the ankle for accessibility.
Chair Eagle Pose;Garudasana in Utkatasana;chair-eagle-pose;FLOW-3-4-5-6.035.png;intermediate;balance;Strengthens thighs|Improves coordination|Builds heat|Enhances focus;Watch knee alignment|Avoid collapsing chest;Knee pain|Lower back injury;Bend knees into chair|Wrap arms and legs|Sit hips back;Keep chest lifted|Engage core;Use chair support|Unwrap arms;Chair Twist Eagle;balance|strength;;strength;stability;true;true;false;true;published;false;true;false;true;published;Tree Pose Tiptoe Support - Balance Preparation;Build balance confidence with Tree Pose keeping toes on the floor for support.;Tree Pose prep with toes of lifted foot resting on floor.
Standing Forward Fold;Uttanasana;standing-forward-fold;FLOW-3-4-5-6.036.png;beginner;forward_fold;Stretches hamstrings|Relieves back tension|Calms nervous system|Improves circulation;Avoid forcing stretch|Bend knees if tight;Disc herniation|Severe hamstring injury;Hinge at hips|Fold torso over legs|Relax head and neck;Distribute weight evenly|Lengthen spine;Bend knees|Hands on blocks;Ragdoll Fold|Halfway Lift;forward fold|relaxation;;flexibility;relaxation;false;false;true;true;published;false;true;false;true;published;Tree Pose Crossed Ankle - Casual Balance Variation;A relaxed Tree Pose variation with ankle crossed for gentle balance practice.;Tree Pose with ankle crossed in front of standing leg.
Halfway Lift;Ardha Uttanasana;halfway-lift;FLOW-3-4-5-6.037.png;beginner;standing;Strengthens back muscles|Improves posture|Prepares for deeper folds;Do not round spine|Avoid neck strain;Acute back injury|Disc issues;From fold lift torso halfway|Hands on shins or blocks|Spine long;Draw shoulders back|Engage core;Hands on thighs|Wall support;Dynamic Sun Salute;posture|standing;;posture;stability;false;true;false;true;published;true;false;false;true;published;Extended Hand to Big Toe Pose A - Balance & Flexibility;Master this challenging standing balance for hamstring flexibility and concentration.;Extended Hand to Big Toe Pose with leg extended forward holding big toe.
Deep Forward Fold;Padahastasana;deep-forward-fold;FLOW-3-4-5-6.038.png;intermediate;forward_fold;Deep hamstring stretch|Calms mind|Improves digestion;Enter gradually|Avoid bouncing;Low back injury|Hamstring tear;From standing fold deeply|Hands under feet|Relax upper body;Keep knees soft|Lengthen spine;Bend knees|Hands to shins;Forward Fold Variations;forward fold|stretch;;flexibility;relaxation;false;false;true;true;published;true;false;false;true;published;Extended Hand to Big Toe Vertical - Advanced Balance;Challenge your flexibility with this vertical leg lift balance pose.;Extended Hand to Big Toe with leg lifted vertically toward ceiling.
Hands to Floor Fold;Uttanasana Variation;hands-to-floor-fold;FLOW-3-4-5-6.039.png;beginner;forward_fold;Improves flexibility|Releases spine|Reduces stress;Avoid locking knees|Move slowly;Severe back pain|Vertigo;Fold from hips|Hands to mat|Relax neck;Weight forward into balls of feet;Bend knees|Blocks under hands;Flow transitions;forward fold|relaxation;;flexibility;relaxation;false;false;true;true;published;true;false;false;true;published;Extended Hand to Big Toe Side A - Hip Opening Balance;Open your hips with this lateral standing balance pose variation.;Extended Hand to Big Toe with leg extended to the side.
Intense Forward Fold;Uttanasana Deep Variation;intense-forward-fold;FLOW-3-4-5-6.040.png;advanced;forward_fold;Maximum hamstring stretch|Improves circulation|Deep spinal release;Only if warmed up|Avoid forcing depth;Disc herniation|Severe hamstring injury;Enter from fold|Straighten legs gradually|Relax head fully;Engage quadriceps|Lengthen spine;Bend knees generously|Use blocks;Yin Forward Fold;forward fold|stretch;;flexibility;relaxation;false;false;true;true;published;true;false;false;true;published;Extended Hand to Big Toe Side B - Deep Hip Opening;Deepen your side extension with this challenging balance variation.;Extended Hand to Big Toe Side B with leg extended fully to side.
