poses-11-20-fixed
image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt;image_alt;
FLOW-19-24.081.png;headstand-straight-legs;Headstand Straight Legs;Sirsasana;Sirsasana;“A vertical headstand with legs extended upward.”;“This classic inversion builds strength; balance; and mental focus.”;“Builds shoulder strength|Improves balance|Enhances focus”;“Protect neck|Engage shoulders”;“Neck injury|High blood pressure”;“Forearms grounded|Lift hips|Extend legs”;“Press forearms|Engage core”;“Use wall|Use cushion”;“Classic headstand”;“inversion|balance|strength”;“yoga mat”;“advanced”;“inversion”;“shoulders”;“core|balance”;30;false;false;false;true;“published”;“Headstand Straight Legs Guide”;“A classic full headstand with vertical alignment.”;“Yoga practitioner holding a straight-leg headstand.”
FLOW-19-24.082.png;headstand-l-shape;Headstand L-Shape;Sirsasana L;Sirsasana;“A headstand variation with legs bent at ninety degrees.”;“This variation builds control and core engagement before full extension.”;“Strengthens core|Builds control|Improves balance”;“Avoid collapsing shoulders|Move slowly”;“Neck injury|Shoulder pain”;“Set base|Lift hips|Bend legs”;“Stabilize core|Breathe steadily”;“Use wall|Bend knees”;“L-shape headstand”;“inversion|core|balance”;“yoga mat”;“advanced”;“inversion”;“core”;“abs|shoulders”;30;false;false;false;true;“published”;“Headstand L-Shape Guide”;“A preparatory L-shaped headstand variation.”;“Yoga practitioner balancing in L-shape headstand.”;;
FLOW-19-24.083.png;headstand-parallel-legs;Headstand Parallel Legs;Sirsasana Variation;Sirsasana;“A headstand with legs held parallel to the floor.”;“This pose challenges balance and deep core strength.”;“Improves balance|Strengthens core|Builds focus”;“Keep neck neutral|Control descent”;“Neck injury|Vertigo”;“Lift hips|Lower legs slowly”;“Engage abdomen|Press forearms”;“Practice near wall”;“Parallel leg headstand”;“inversion|core|control”;“yoga mat”;“advanced”;“inversion”;“core”;“balance|control”;30;false;false;false;true;“published”;“Parallel Legs Headstand Guide”;“A controlled parallel-leg headstand variation.”;“Yoga practitioner holding legs parallel in headstand.”;;
FLOW-19-24.084.png;headstand-hover;Headstand Hover;Sirsasana Hover;Sirsasana;“A hovering headstand with legs suspended off the floor.”;“This advanced inversion develops strength and precision.”;“Builds strength|Enhances control|Sharpens focus”;“Avoid jerking movements|Protect neck”;“Neck injury|Shoulder strain”;“Ground forearms|Hover legs”;“Stabilize shoulders|Engage core”;“Use wall support”;“Hovering headstand”;“inversion|strength|balance”;“yoga mat”;“advanced”;“inversion”;“shoulders”;“core|stability”;30;false;false;false;true;“published”;“Headstand Hover Guide”;“An advanced hovering headstand variation.”;“Yoga practitioner hovering legs in headstand.”;;
FLOW-19-24.085.png;tripod-headstand-prep;Tripod Headstand Prep;Tripod Sirsasana Prep;Tripod Sirsasana;“A preparatory tripod headstand with bent knees.”;“This pose strengthens arms and prepares for arm balances.”;“Strengthens arms|Builds confidence|Improves balance”;“Distribute weight evenly|Protect neck”;“Wrist injury|Neck pain”;“Place hands|Lift knees”;“Press palms|Engage core”;“Use blocks|Wall support”;“Tripod prep”;“inversion|arms|balance”;“yoga mat”;“advanced”;“inversion”;“arms”;“triceps|core”;30;false;false;false;true;“published”;“Tripod Headstand Prep Guide”;“A preparatory tripod headstand variation.”;“Yoga practitioner practicing tripod headstand prep.”;;
FLOW-19-24.086.png;tripod-headstand-knees-bent;Tripod Headstand Knees Bent;Tripod Sirsasana;Tripod Sirsasana;“A tripod headstand with knees bent and lifted.”;“This inversion builds arm strength and balance awareness.”;“Strengthens arms|Improves balance|Builds focus”;“Keep elbows aligned|Avoid neck strain”;“Wrist pain|Neck injury”;“Set tripod base|Lift knees”;“Engage arms|Stabilize core”;“Practice near wall”;“Bent-knee tripod”;“inversion|arms|strength”;“yoga mat”;“advanced”;“inversion”;“arms”;“triceps|balance”;30;false;false;false;true;“published”;“Tripod Headstand Knees Bent Guide”;“A bent-knee tripod headstand variation.”;“Yoga practitioner balancing in tripod headstand.”;;
FLOW-19-24.087.png;tripod-headstand-tuck;Tripod Headstand Tuck;Tripod Sirsasana Tuck;Tripod Sirsasana;“A tucked tripod headstand with knees drawn in.”;“This compact inversion improves control and coordination.”;“Enhances coordination|Builds arm strength|Improves balance”;“Maintain steady breath|Protect neck”;“Neck injury|Wrist strain”;“Tuck knees|Lift hips”;“Press palms|Engage core”;“Use wall support”;“Tucked tripod”;“inversion|control|arms”;“yoga mat”;“advanced”;“inversion”;“arms”;“core|stability”;30;false;false;false;true;“published”;“Tripod Headstand Tuck Guide”;“A tucked tripod headstand variation.”;“Yoga practitioner holding tucked tripod headstand.”;;
FLOW-19-24.088.png;tripod-headstand-hold;Tripod Headstand Hold;Tripod Sirsasana Hold;Tripod Sirsasana;“A steady hold in full tripod headstand.”;“This pose cultivates strength; balance; and mental focus.”;“Builds strength|Improves focus|Enhances balance”;“Align spine|Avoid collapsing”;“Neck injury|Wrist pain”;“Press hands|Lift legs”;“Stabilize shoulders|Breathe calmly”;“Use mat cushioning”;“Tripod hold”;“inversion|balance|strength”;“yoga mat”;“advanced”;“inversion”;“arms”;“shoulders|core”;30;false;false;false;true;“published”;“Tripod Headstand Hold Guide”;“A stable tripod headstand hold.”;“Yoga practitioner holding a steady tripod headstand.”
FLOW-19-24.089.png;tripod-headstand-variation;Tripod Headstand Variation;Tripod Sirsasana Variation;Tripod Sirsasana;“A creative tripod headstand leg variation.”;“This variation challenges balance and coordination.”;“Improves coordination|Builds strength|Enhances focus”;“Move slowly|Maintain control”;“Neck injury|Wrist strain”;“Shift weight evenly|Adjust legs”;“Engage core|Press palms”;“Use wall support”;“Tripod variation”;“inversion|arms|balance”;“yoga mat”;“advanced”;“inversion”;“arms”;“balance|coordination”;30;false;false;false;true;“published”;“Tripod Headstand Variation Guide”;“A creative tripod headstand variation.”;“Yoga practitioner performing a tripod headstand variation.”;;
FLOW-19-24.090.png;shoulderstand-supported;Supported Shoulderstand;Salamba Sarvangasana;Salamba Sarvangasana;“A supported shoulderstand with hands at the lower back.”;“This inversion promotes circulation and spinal alignment.”;“Improves circulation|Supports spine|Calms nervous system”;“Avoid neck pressure|Support back”;“Neck injury|Glaucoma”;“Lift hips|Support lower back”;“Lengthen legs|Breathe deeply”;“Use blanket”;“Supported shoulderstand”;“inversion|restorative|spine”;“yoga mat”;“intermediate”;“supine”;“spine”;“circulation|alignment”;30;false;false;false;true;“published”;“Supported Shoulderstand Guide”;“A classic supported shoulderstand pose.”;“Yoga practitioner holding a supported shoulderstand.”;;
