poses-21-30-fixed
english_name;sanskrit_name;slug;image_original_filename;difficulty;pose_type;benefit_1;benefit_2;benefit_3;benefit_4;caution_1;caution_2;contraindication_1;contraindication_2;step_1;step_2;step_3;step_4;alignment_1;alignment_2;alignment_3;modification_1;modification_2;variation_1;variation_2;tag_1;tag_2;tag_3;equipment;primary_focus;secondary_focus;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status
Halfway Lift;Ardha Uttanasana;halfway-lift;FLOW-7-8-9-10-11-12-13-14.001.png;beginner;forward_fold;Lengthens spine;Strengthens back muscles;Improves posture;Prepares body for deeper folds;Avoid locking knees;Move with breath;Acute back injury;Severe hamstring strain;Stand hip-width apart;Hands to floor or blocks;Lengthen spine forward;Pause with flat back;Spine long;Weight evenly distributed;Gaze forward;Hands on blocks;Bend knees slightly;Dynamic half lift;Arms overhead variation;forward fold;warm up;spine;blocks;spine;hamstrings;false;true;false;true;published
Revolved Forward Fold;Parivrtta Uttanasana;revolved-forward-fold;FLOW-7-8-9-10-11-12-13-14.002.png;intermediate;twist;Improves spinal mobility;Stimulates digestion;Enhances balance;Detoxifies body;Avoid forcing the twist;Keep neck relaxed;Disc herniation;Severe low back pain;Start in forward fold;Hands to prayer;Rotate torso to side;Hold with steady breath;Hips squared;Twist from upper spine;Chest open;Use yoga block;Reduce depth;Open arm twist;Bound twist;twist;forward fold;detox;;spine;obliques;false;false;false;true;published
Upward Salute;Urdhva Hastasana;upward-salute;FLOW-7-8-9-10-11-12-13-14.003.png;beginner;standing;Improves posture;Opens shoulders;Enhances breathing;Builds awareness;Relax shoulders;Avoid compressing lower back;Shoulder injury;Lower back pain;Stand tall;Ground through feet;Reach arms overhead;Gaze upward;Ribs knit in;Neck long;Weight balanced;Bend knees slightly;Hands shoulder-width;Cactus arms;Backbend variation;standing;stretch;breath;;full body;shoulders;false;true;false;true;published
Standing Side Stretch;Parsva Urdhva Hastasana;standing-side-stretch;FLOW-7-8-9-10-11-12-13-14.004.png;beginner;side_bend;Stretches side body;Improves flexibility;Expands lungs;Releases tension;Avoid collapsing chest;Move gently;Shoulder injury;Rib injury;Arms overhead;Lean torso sideways;Keep hips grounded;Hold and breathe;Chest open;Hips level;Neck relaxed;Hands on hips;Shorten stance;Deeper side bend;Dynamic flow;side stretch;standing;flexibility;;side body;spine;false;true;false;true;published
Goddess Pose;Utkata Konasana;goddess-pose;FLOW-7-8-9-10-11-12-13-14.005.png;beginner;standing;Strengthens legs;Opens hips;Builds endurance;Enhances stability;Do not sink too low;Keep knees tracking;Severe knee pain;Hip injury;Feet wide apart;Turn toes out;Bend knees deeply;Arms lifted or hands to heart;Knees over ankles;Spine upright;Core engaged;Reduce depth;Support thighs;Dynamic pulses;Prayer twist;hip opening;standing;strength;;hips;legs;false;false;false;true;published
Goddess Twist;Parivrtta Utkata Konasana;goddess-twist;FLOW-7-8-9-10-11-12-13-14.006.png;intermediate;twist;Improves mobility;Strengthens legs;Stimulates digestion;Builds balance;Avoid forcing rotation;Keep chest open;Lower back pain;Knee injury;Start in Goddess pose;Forearm to thigh;Rotate chest upward;Hold breath steady;Stable base;Twist from thoracic spine;Neck neutral;Hands on blocks;Reduce depth;Extended arm twist;Flowing twist;twist;hip opening;standing;;spine;hips;false;false;false;true;published
Wide-Legged Squat with Mudra;Malasana Variation;wide-squat-mudra;FLOW-7-8-9-10-11-12-13-14.007.png;beginner;squat;Opens hips;Strengthens legs;Calms mind;Improves posture;Use support if needed;Keep heels grounded;Ankle injury;Knee pain;Feet wide and turned out;Lower hips down;Hands in mudra at knees;Lengthen spine;Hips open;Chest lifted;Heels grounded;Sit on block;Reduce depth;Dynamic squat;Prayer squat;grounding;hip opening;calm;;hips;legs;false;false;false;true;published
Wide-Legged Forward Fold;Prasarita Padottanasana;wide-forward-fold;FLOW-7-8-9-10-11-12-13-14.008.png;beginner;forward_fold;Stretches hamstrings;Calms nervous system;Improves circulation;Releases spine;Avoid rounding back;Do not lock knees;High blood pressure;Neck injury;Feet wide apart;Fold forward;Hands to floor;Relax head;Hips over heels;Spine long;Weight forward;Use blocks;Bend knees slightly;Hands clasped behind;Dynamic fold;forward fold;stretch;calming;;hamstrings;spine;false;false;true;true;published
Wide-Legged Forward Fold Deep;Prasarita Padottanasana C;wide-forward-fold-deep;FLOW-7-8-9-10-11-12-13-14.009.png;intermediate;forward_fold;Deepens hamstring stretch;Opens shoulders;Improves flexibility;Builds focus;Do not force shoulders;Move gradually;Shoulder injury;Low back pain;Wide stance;Hands clasped behind;Fold deeply;Arms overhead;Shoulders relaxed;Spine long;Weight balanced;Use strap;Bend elbows;Bound variation;Pulsing fold;deep stretch;forward fold;focus;;shoulders;hamstrings;false;false;true;true;published
Wide-Legged Forward Fold Bind;Prasarita Padottanasana D;wide-forward-fold-bind;FLOW-7-8-9-10-11-12-13-14.010.png;advanced;forward_fold;Opens shoulders deeply;Enhances flexibility;Improves circulation;Builds discipline;Avoid shoulder strain;Warm up first;Shoulder injury;High blood pressure;Wide stance;Bind hands behind;Fold deeply;Lower crown down;Arms active;Neck relaxed;Weight forward;Use strap;Bend knees;Bound deep fold;Flow transition;advanced stretch;forward fold;strength;;shoulders;spine;true;false;true;true;published
