poses-21-30-fixed
image_filename;pose_name_en;sanskrit_name;pose_category;short_description;detailed_description;how_to_steps;main_benefits;focus_areas;cautions;caution_1;caution_2;contraindication_1;contraindication_2;step_1;step_2;step_3;step_4;alignment_1;alignment_2;alignment_3;modification_1;modification_2;variation_1;variation_2;tag_1;tag_2;tag_3;equipment;primary_focus;secondary_focus;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status
FLOW-7-8-9-10-11-12-13-14.011.png;Wide-Legged Forward Fold Hands on Hips;Prasarita Padottanasana;Standing Forward Fold;A grounding wide-legged forward bend with hands on hips;This variation of Prasarita Padottanasana emphasizes spinal length and hamstring release while keeping the upper body supported by the hands on the hips.;"Stand with feet wide and parallel; place hands on hips; inhale to lengthen spine; exhale fold forward keeping chest open; relax neck.";"Stretches hamstrings and inner thighs; decompresses spine; calms nervous system";Hamstrings hips spine;Avoid if severe lower back or hamstring injury;Avoid locking knees;Move with breath;Acute back injury;Severe hamstring strain;Stand hip-width apart;Hands to floor or blocks;Lengthen spine forward;Pause with flat back;Spine long;Weight evenly distributed;Gaze forward;Hands on blocks;Bend knees slightly;Dynamic half lift;Arms overhead variation;forward fold;warm up;spine;blocks;spine;hamstrings;false;true;false;true;published
FLOW-7-8-9-10-11-12-13-14.012.png;Wide-Legged Forward Fold Fingers Interlaced;Prasarita Padottanasana C;Standing Forward Fold;An intense shoulder-opening forward fold with clasped hands;This pose deepens the stretch by adding a shoulder opener while the torso folds between the legs.;"Stand wide; interlace fingers behind back; inhale lift arms; exhale fold forward letting arms fall overhead.";"Opens shoulders and chest; stretches legs; improves circulation";Shoulders chest hamstrings;Avoid if shoulder strain or dizziness;Avoid forcing the twist;Keep neck relaxed;Disc herniation;Severe low back pain;Start in forward fold;Hands to prayer;Rotate torso to side;Hold with steady breath;Hips squared;Twist from upper spine;Chest open;Use yoga block;Reduce depth;Open arm twist;Bound twist;twist;forward fold;detox;;spine;obliques;false;false;false;true;published
FLOW-7-8-9-10-11-12-13-14.013.png;Wide-Legged Forward Fold Prayer Hands;Prasarita Padottanasana Namaskara;Standing Forward Fold;A devotional variation with hands in prayer behind the back;This variation combines forward folding with deep shoulder and chest opening.;"Stand wide; bring palms together behind back; inhale lift chest; exhale fold forward keeping palms pressed.";"Improves posture; opens shoulders; calms the mind";Shoulders upper back hips;Modify if limited shoulder mobility;Relax shoulders;Avoid compressing lower back;Shoulder injury;Lower back pain;Stand tall;Ground through feet;Reach arms overhead;Gaze upward;Ribs knit in;Neck long;Weight balanced;Bend knees slightly;Hands shoulder-width;Cactus arms;Backbend variation;standing;stretch;breath;;full body;shoulders;false;true;false;true;published
FLOW-7-8-9-10-11-12-13-14.014.png;Wide-Legged Forward Fold Arms Open;Prasarita Padottanasana Variation;Standing Forward Fold;A spacious variation encouraging openness and balance;Arms extend wide creating space across chest and shoulders while grounding through the legs.;"Stand wide; fold forward; extend arms out to sides with control.";"Enhances balance; opens chest; stretches legs";Chest shoulders legs;Use caution with balance issues;Avoid collapsing chest;Move gently;Shoulder injury;Rib injury;Arms overhead;Lean torso sideways;Keep hips grounded;Hold and breathe;Chest open;Hips level;Neck relaxed;Hands on hips;Shorten stance;Deeper side bend;Dynamic flow;side stretch;standing;flexibility;;side body;spine;false;true;false;true;published
FLOW-7-8-9-10-11-12-13-14.015.png;Wide-Legged Revolved Forward Fold;Parivrtta Prasarita Padottanasana;Standing Twist;A twisting wide-legged forward fold;This pose combines spinal rotation with a deep hamstring stretch.;"Stand wide; fold forward; one hand grounded one arm reaches upward; rotate chest.";"Improves spinal mobility; massages organs; stretches legs";Spine hips hamstrings;Avoid with spinal disc issues;Do not sink too low;Keep knees tracking;Severe knee pain;Hip injury;Feet wide apart;Turn toes out;Bend knees deeply;Arms lifted or hands to heart;Knees over ankles;Spine upright;Core engaged;Reduce depth;Support thighs;Dynamic pulses;Prayer twist;hip opening;standing;strength;;hips;legs;false;false;false;true;published
FLOW-7-8-9-10-11-12-13-14.016.png;Downward Facing Dog;Adho Mukha Svanasana;Inversion;A foundational yoga pose forming an inverted V shape;This pose lengthens the spine and strengthens the entire body while calming the mind.;"Hands shoulder-width; hips lift up and back; heels reach toward floor; relax head.";"Strengthens arms and legs; lengthens spine; relieves stress";Shoulders spine calves;Avoid wrist injury or severe shoulder pain;Avoid forcing rotation;Keep chest open;Lower back pain;Knee injury;Start in Goddess pose;Forearm to thigh;Rotate chest upward;Hold breath steady;Stable base;Twist from thoracic spine;Neck neutral;Hands on blocks;Reduce depth;Extended arm twist;Flowing twist;twist;hip opening;standing;;spine;hips;false;false;false;true;published
FLOW-7-8-9-10-11-12-13-14.017.png;Dolphin Pose;Ardha Pincha Mayurasana;Inversion;A forearm-supported inversion prep;This pose builds shoulder strength and prepares the body for inversions.;"Forearms down; hips lift; walk feet closer; keep neck relaxed.";"Strengthens shoulders; prepares for headstand; stretches calves";Shoulders core calves;Avoid neck or shoulder injury;Use support if needed;Keep heels grounded;Ankle injury;Knee pain;Feet wide and turned out;Lower hips down;Hands in mudra at knees;Lengthen spine;Hips open;Chest lifted;Heels grounded;Sit on block;Reduce depth;Dynamic squat;Prayer squat;grounding;hip opening;calm;;hips;legs;false;false;false;true;published
FLOW-7-8-9-10-11-12-13-14.018.png;Downward Facing Dog Bent Knees;Adho Mukha Svanasana Variation;Inversion;A softer variation focusing on spinal release;Bending the knees allows the spine to lengthen without hamstring strain.;"From Downward Dog bend knees; lift sit bones; keep chest moving back.";"Relieves lower back tension; improves mobility";Spine hips calves;Safe for most practitioners;Avoid rounding back;Do not lock knees;High blood pressure;Neck injury;Feet wide apart;Fold forward;Hands to floor;Relax head;Hips over heels;Spine long;Weight forward;Use blocks;Bend knees slightly;Hands clasped behind;Dynamic fold;forward fold;stretch;calming;;hamstrings;spine;false;false;true;true;published
FLOW-7-8-9-10-11-12-13-14.019.png;Three-Legged Downward Dog;Eka Pada Adho Mukha Svanasana;Inversion;A dynamic single-leg variation of Downward Dog;This pose challenges balance while strengthening the standing leg and core.;"From Downward Dog lift one leg; hips square; press evenly through hands.";"Builds strength; improves balance; energizes body";Glutes core shoulders;Avoid if unstable wrists;Do not force shoulders;Move gradually;Shoulder injury;Low back pain;Wide stance;Hands clasped behind;Fold deeply;Arms overhead;Shoulders relaxed;Spine long;Weight balanced;Use strap;Bend elbows;Bound variation;Pulsing fold;deep stretch;forward fold;focus;;shoulders;hamstrings;false;false;true;true;published
FLOW-7-8-9-10-11-12-13-14.020.png;Downward Dog Twist;Parivrtta Adho Mukha Svanasana;Inversion;A twisting variation to release the spine;This pose adds rotation to Downward Dog increasing spinal flexibility.;"From Downward Dog reach opposite hand to ankle; rotate torso gently.";"Improves spinal flexibility; aids digestion";Spine shoulders hamstrings;Move slowly and avoid forcing twist;Avoid shoulder strain;Warm up first;Shoulder injury;High blood pressure;Wide stance;Bind hands behind;Fold deeply;Lower crown down;Arms active;Neck relaxed;Weight forward;Use strap;Bend knees;Bound deep fold;Flow transition;advanced stretch;forward fold;strength;;shoulders;spine;true;false;true;true;published
