poses-21-30-fixed
image_name;pose_name;pose_category;short_description;difficulty;description;benefits;cautions;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;contraindication_2;step_1;step_2;step_3;step_4;alignment_1;alignment_2;alignment_3;modification_1;modification_2;variation_1;variation_2;tag_1;tag_2;tag_3;equipment;primary_focus;secondary_focus;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status
FLOW-7-8-9-10-11-12-13-14.041;Low Lunge Anjaneyasana;Lunge;Deep hip flexor stretch with lifted chest and grounded back knee;intermediate;An energizing variation of Downward-Facing Dog where one leg lifts toward the sky while the hips remain stable. This pose builds strength, balance, and full-body awareness while preparing the body for transitions and standing flows.;Strengthens arms and shoulders|Improves hip mobility|Enhances balance and coordination|Builds core stability;Avoid if you have wrist or shoulder injuries|Keep hips level to protect the lower back;false;false;false;true;published;Severe hamstring strain;Stand hip-width apart;Hands to floor or blocks;Lengthen spine forward;Pause with flat back;Spine long;Weight evenly distributed;Gaze forward;Hands on blocks;Bend knees slightly;Dynamic half lift;Arms overhead variation;forward fold;warm up;spine;blocks;spine;hamstrings;false;true;false;true;published
FLOW-7-8-9-10-11-12-13-14.042;Low Lunge Upright;Low Lunge;Stable lunge position with torso upright and controlled balance;beginner;A strong standing posture that opens the hips and chest while building lower-body strength. The lifted arms encourage spinal length and focused breathing.;Strengthens legs and glutes|Improves balance|Opens hip flexors and chest|Builds mental focus;Be cautious with knee issues|Keep front knee aligned over ankle;false;true;false;true;published;Severe low back pain;Start in forward fold;Hands to prayer;Rotate torso to side;Hold with steady breath;Hips squared;Twist from upper spine;Chest open;Use yoga block;Reduce depth;Open arm twist;Bound twist;twist;forward fold;detox;;spine;obliques;false;false;false;true;published
FLOW-7-8-9-10-11-12-13-14.043;Low Lunge On Forearms;Low Lunge;Deep hip opening with forearms resting on the mat;intermediate;A gentle standing backbend that opens the front body and increases spinal extension while supporting the lower back with the hands.;Opens chest and shoulders|Improves spinal mobility|Energizes the nervous system;Avoid deep backbends with lower back pain|Engage core to protect spine;false;false;false;true;published;Lower back pain;Stand tall;Ground through feet;Reach arms overhead;Gaze upward;Ribs knit in;Neck long;Weight balanced;Bend knees slightly;Hands shoulder-width;Cactus arms;Backbend variation;standing;stretch;breath;;full body;shoulders;false;true;false;true;published
FLOW-7-8-9-10-11-12-13-14.044;Low Lunge Forearm Variation;Low Lunge;Intense hip stretch using forearm support;beginner;A transitional posture that lengthens the spine while hinging forward from the hips. Arms extend forward to encourage spinal alignment and awareness.;Stretches hamstrings|Improves posture|Builds spinal awareness;Avoid locking knees|Move slowly with tight hamstrings;false;true;false;true;published;Rib injury;Arms overhead;Lean torso sideways;Keep hips grounded;Hold and breathe;Chest open;Hips level;Neck relaxed;Hands on hips;Shorten stance;Deeper side bend;Dynamic flow;side stretch;standing;flexibility;;side body;spine;false;true;false;true;published
FLOW-7-8-9-10-11-12-13-14.045;Low Lunge Deep Hold;Low Lunge;Sustained low lunge emphasizing hip mobility;intermediate;A deeper forward fold variation where the hands reach toward the ankles, intensifying the stretch along the back body.;Deep hamstring stretch|Calms the nervous system|Improves flexibility;Avoid if you have severe lower back issues|Bend knees if needed;false;false;true;true;published;Hip injury;Feet wide apart;Turn toes out;Bend knees deeply;Arms lifted or hands to heart;Knees over ankles;Spine upright;Core engaged;Reduce depth;Support thighs;Dynamic pulses;Prayer twist;hip opening;standing;strength;;hips;legs;false;false;false;true;published
FLOW-7-8-9-10-11-12-13-14.046;Low Lunge With Back Leg Extended;Low Lunge;Extended back leg increasing strength and stretch;intermediate;A twisting forward fold that combines spinal rotation with hamstring stretching, encouraging detoxification and balance.;Improves spinal rotation|Enhances digestion|Increases flexibility;Avoid with spinal disc issues|Twist gently and evenly;false;false;false;true;published;Knee injury;Start in Goddess pose;Forearm to thigh;Rotate chest upward;Hold breath steady;Stable base;Twist from thoracic spine;Neck neutral;Hands on blocks;Reduce depth;Extended arm twist;Flowing twist;twist;hip opening;standing;;spine;hips;false;false;false;true;published
FLOW-7-8-9-10-11-12-13-14.047;Low Lunge Backbend;Low Lunge;Heart opening variation with gentle spinal extension;advanced;An advanced forward fold variation that opens the shoulders deeply while folding over the legs with hands in reverse prayer.;Deep shoulder opening|Stretches hamstrings|Improves posture;Avoid with shoulder injuries|Move slowly into position;true;false;false;true;published;Knee pain;Feet wide and turned out;Lower hips down;Hands in mudra at knees;Lengthen spine;Hips open;Chest lifted;Heels grounded;Sit on block;Reduce depth;Dynamic squat;Prayer squat;grounding;hip opening;calm;;hips;legs;false;false;false;true;published
FLOW-7-8-9-10-11-12-13-14.048;Low Lunge Arms Overhead;Low Lunge;Upper body lift adding shoulder opening;beginner;A foundational yoga pose forming an inverted V shape. It lengthens the spine while grounding through the hands and feet.;Stretches entire back body|Strengthens arms and legs|Relieves tension;Avoid with wrist pain|Bend knees if hamstrings are tight;false;true;true;true;published;Neck injury;Feet wide apart;Fold forward;Hands to floor;Relax head;Hips over heels;Spine long;Weight forward;Use blocks;Bend knees slightly;Hands clasped behind;Dynamic fold;forward fold;stretch;calming;;hamstrings;spine;false;false;true;true;published
FLOW-7-8-9-10-11-12-13-14.049;Low Lunge High Reach;Low Lunge;Active lunge with strong upward arm extension;intermediate;A dynamic variation of Downward Dog that emphasizes hip extension and balance by lifting one leg high.;Strengthens glutes|Improves balance|Prepares for standing transitions;Avoid overarching the lower back|Engage core muscles;false;false;false;true;published;Low back pain;Wide stance;Hands clasped behind;Fold deeply;Arms overhead;Shoulders relaxed;Spine long;Weight balanced;Use strap;Bend elbows;Bound variation;Pulsing fold;deep stretch;forward fold;focus;;shoulders;hamstrings;false;false;true;true;published
FLOW-7-8-9-10-11-12-13-14.050;Low Lunge Quad Stretch;Low Lunge;Back leg quad stretch combined with balance;advanced;A powerful side stretch combining strength, flexibility, and balance with an extended arm line.;Strengthens legs|Improves lateral flexibility|Builds endurance;Avoid knee strain|Use support if balance is limited;true;false;false;true;published;High blood pressure;Wide stance;Bind hands behind;Fold deeply;Lower crown down;Arms active;Neck relaxed;Weight forward;Use strap;Bend knees;Bound deep fold;Flow transition;advanced stretch;forward fold;strength;;shoulders;spine;true;false;true;true;published
